ENCUESTADOR;DEPTO;MUPIO;SECTOR;ESTRUCTURA;VIVIENDA;HOGAR;CP;CAPITULO;SECCION;PREGUNTA;DEFINICION DE INCONSISTENCIA;CODIGO ERROR;COMENTARIOS;;
3015.0;14.0;1.0;17301.0;154.0;116.0;10.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D03104;6
3050.0;3.0;12.0;6241.0;75.0;64.0;5.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D03201;9
3126.0;5.0;13.0;8461.0;222.0;145.0;9.0;0.0;1;C;1;Selecciono que realizó alguna mejoras a su vivienda, pero no contesto si en los últimos doce meses lo realizaron;01C00101;;01D03202;9
3089.0;9.0;9.0;11395.0;59.0;24.0;4.0;0.0;1;D;6;"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12";01D00602;;01H00902;2
3082.0;15.0;2.0;18927.0;74.0;49.0;3.0;0.0;1;D;6;"Si selecciona una opcion de rango (3:7,98) en pregunta sobre ""De dónde obtienen principalmente el agua para consumo"", se verifica que el resto de preguntas sean distinto a vacio hasta la pregunta 12";01D00602;;01I00105;2
3052.0;13.0;29.0;17243.0;147.0;81.0;6.0;0.0;1;D;9;El servicio de agua es privada o de comité, debe pagar una cuota determinada;01D00901;;01J10104;10
3121.0;5.0;5.0;7860.0;139.0;93.0;8.0;0.0;1;D;9;El servicio de agua es privada o de comité, debe pagar una cuota determinada;01D00901;;01J20104;6
3003.0;5.0;5.0;7860.0;158.0;106.0;9.0;0.0;1;D;9;El servicio de agua es privada o de comité, debe pagar una cuota determinada;01D00901;;01J30104;7
3135.0;3.0;6.0;6086.0;36.0;20.0;3.0;0.0;1;D;9;El servicio de agua es privada o de comité, debe pagar una cuota determinada;01D00901;;01J40104;10
3051.0;20.0;5.0;23845.0;6.0;4.0;1.0;0.0;1;D;9;El servicio de agua es privada o de comité, debe pagar una cuota determinada;01D00901;;02A00105;3
3090.0;19.0;4.0;23210.0;7.0;1.0;1.0;0.0;1;D;9;El servicio de agua es privada o de comité, debe pagar una cuota determinada;01D00901;;02A00107;1
3082.0;15.0;2.0;18927.0;74.0;49.0;3.0;0.0;1;D;12;Si la distancia es mayor a 0 no debió haber respondido las preguntas 13 y 14;01D01201;;02A00701;8
3151.0;22.0;12.0;25524.0;101.0;82.0;1.0;0.0;1;D;17;Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes;01D01701;;02B00401;1
3105.0;9.0;9.0;11337.0;34.0;24.0;1.0;0.0;1;D;17;Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes;01D01701;;02B00501;6
3078.0;10.0;3.0;12372.0;50.0;46.0;2.0;0.0;1;D;17;Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes;01D01701;;03B00103;1
3125.0;3.0;12.0;6263.0;114.0;108.0;9.0;0.0;1;D;17;Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes;01D01701;;04A00101;3
3151.0;22.0;12.0;25524.0;51.0;45.0;1.0;0.0;1;D;17;Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes;01D01701;;04A00201;3
3124.0;2.0;1.0;5508.0;67.0;34.0;3.0;0.0;1;D;20;Indico que el hogar si tiene plan residencial y no reporta cuanto pago;01D02001;;04A00301;2
3085.0;4.0;1.0;6378.0;90.0;51.0;9.0;0.0;1;D;20;Indico que el hogar si tiene telefono fijo y no reporta cuanto pago;01D02002;;04A00401;3
3049.0;15.0;2.0;18927.0;119.0;84.0;5.0;0.0;1;D;22;Si la respuesta esta un rango de (3:7,98) la siguiente pregunta no es vacia;01D02201;;04A00501;1
3122.0;6.0;5.0;8843.0;184.0;94.0;1.0;0.0;1;D;26;"Se indico ""00"" en la pregunta P01D25 y P01D26 no es vacia";01D02603;;04A00701;3
3122.0;6.0;5.0;8843.0;184.0;94.0;1.0;0.0;1;D;27;"Se indico ""00"" en la pregunta P01D25 y P01D27 no es vacio";01D02702;;04A00902;1
3032.0;1.0;31.0;3686.0;221.0;148.0;8.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia";01D03103;;04A01101;1
3148.0;22.0;12.0;25524.0;81.0;69.0;69.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia";01D03103;;04A01102;7
3000.0;12.0;2.0;13783.0;132.0;67.0;4.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia";01D03103;;04A01202;3
3029.0;1.0;28.0;2423.0;19.0;18.0;2.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia";01D03103;;04A01203;10
3148.0;22.0;12.0;25524.0;81.0;69.0;69.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia";01D03104;;04A01301;1
3000.0;12.0;2.0;13783.0;132.0;67.0;4.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia";01D03104;;04A01302;4
3129.0;8.0;1.0;10002.0;176.0;114.0;4.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia";01D03104;;05A00403;2
3021.0;4.0;6.0;6876.0;5.0;5.0;6.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia";01D03104;;05A00501;1
3019.0;11.0;7.0;13384.0;107.0;80.0;5.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia";01D03104;;05A00701;1
3126.0;5.0;13.0;8461.0;112.0;61.0;4.0;0.0;1;D;31;"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia";01D03104;;05B00101;2
3032.0;1.0;31.0;3686.0;221.0;148.0;8.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05B00201;1
3148.0;22.0;12.0;25524.0;81.0;69.0;69.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05B00301;1
3000.0;12.0;2.0;13783.0;132.0;67.0;4.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05B00302;1
3029.0;1.0;28.0;2423.0;19.0;18.0;2.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05B00401;1
3004.0;14.0;8.0;17843.0;96.0;62.0;5.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05B00502;1
3129.0;8.0;1.0;10002.0;176.0;114.0;4.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05B00601;1
3021.0;4.0;6.0;6876.0;5.0;5.0;6.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05B00701;1
3019.0;11.0;7.0;13384.0;107.0;80.0;5.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05D00102;15
3126.0;5.0;13.0;8461.0;112.0;61.0;4.0;0.0;1;D;32;Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña;01D03201;;05D00201;12
3032.0;1.0;31.0;3686.0;221.0;148.0;8.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00203;31
3148.0;22.0;12.0;25524.0;81.0;69.0;69.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00301;2
3000.0;12.0;2.0;13783.0;132.0;67.0;4.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00303;1
3029.0;1.0;28.0;2423.0;19.0;18.0;2.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00304;9
3004.0;14.0;8.0;17843.0;96.0;62.0;5.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00401;5
3129.0;8.0;1.0;10002.0;176.0;114.0;4.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00402;2
3021.0;4.0;6.0;6876.0;5.0;5.0;6.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00403;7
3019.0;11.0;7.0;13384.0;107.0;80.0;5.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00404;4
3126.0;5.0;13.0;8461.0;112.0;61.0;4.0;0.0;1;D;32;Si la leña está a una distancia cero, no necesita un medio para transportarla;01D03202;;05D00405;3
3016.0;6.0;5.0;8859.0;119.0;70.0;1.0;0.0;1;H;9;Verifique seccion: H, pregunta: 9. Responde no a menores de 18 años y tiene valores asignados en las respuesta de las preguntas siguientes;01H00902;;05D00601;1
3049.0;15.0;2.0;18951.0;15.0;7.0;1.0;0.0;1;H;9;Verifique seccion: H, pregunta: 9. Responde no a menores de 18 años y tiene valores asignados en las respuesta de las preguntas siguientes;01H00902;;05D00602;1
3103.0;17.0;6.0;21606.0;103.0;65.0;5.0;0.0;1;I;1;"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.";01I00105;;05D00603;6
3051.0;20.0;5.0;23845.0;44.0;34.0;3.0;0.0;1;I;1;"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.";01I00105;;05D00702;2
3021.0;4.0;6.0;6876.0;162.0;125.0;4.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D00802;3
3105.0;9.0;9.0;11337.0;105.0;58.0;5.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01102;2
3069.0;10.0;10.0;12644.0;214.0;177.0;10.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01203;1
3067.0;18.0;3.0;22567.0;83.0;56.0;7.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01302;1
3013.0;8.0;3.0;10289.0;40.0;22.0;2.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01402;1
3136.0;5.0;13.0;8461.0;132.0;78.0;5.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01702;1
3150.0;22.0;14.0;25570.0;191.0;110.0;110.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01703;1
3035.0;1.0;38.0;5368.0;60.0;101.0;6.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01801;1
3126.0;5.0;13.0;8461.0;69.0;28.0;2.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01804;1
3104.0;16.0;1.0;19678.0;109.0;74.0;1.0;0.0;1;J1;1;"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos en uno de los articulos y tiene informacion en una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J10104;;05D01902;1
3150.0;22.0;14.0;25570.0;4.0;3.0;3.0;0.0;1;J2;1;"Verifique seccion: J2, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J20104;;06A00206;7
3000.0;12.0;2.0;13783.0;105.0;51.0;3.0;0.0;1;J2;1;"Verifique seccion: J2, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J20104;;06A00301;2
3136.0;5.0;13.0;8461.0;21.0;11.0;1.0;0.0;1;J2;1;"Verifique seccion: J2, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J20104;;06B00101;2
3113.0;8.0;2.0;10233.0;84.0;65.0;4.0;0.0;1;J2;1;"Verifique seccion: J2, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J20104;;06B00201;2
3085.0;4.0;1.0;6378.0;1.0;1.0;1.0;0.0;1;J2;1;"Verifique seccion: J2, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J20104;;06B00202;2
3022.0;1.0;15.0;966.0;71.0;64.0;4.0;0.0;1;J2;1;"Verifique seccion: J2, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J20104;;06B00301;1
3094.0;17.0;5.0;21539.0;116.0;85.0;8.0;0.0;1;J3;1;"Verifique seccion: J3, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J30104;;06B00501;8
3006.0;1.0;22.0;1733.0;28.0;17.0;2.0;0.0;1;J3;1;"Verifique seccion: J3, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J30104;;06B00801;1
3094.0;17.0;5.0;21539.0;61.0;42.0;4.0;0.0;1;J3;1;"Verifique seccion: J3, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J30104;;06B01101;1
3094.0;17.0;5.0;21539.0;39.0;31.0;1.0;0.0;1;J3;1;"Verifique seccion: J3, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J30104;;06B01201;2
3054.0;18.0;4.0;22797.0;7.0;6.0;1.0;0.0;1;J3;1;"Verifique seccion: J3, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J30104;;06B01402;2
3113.0;8.0;2.0;10233.0;18.0;13.0;1.0;0.0;1;J3;1;"Verifique seccion: J3, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J30104;;06B01701;4
3022.0;1.0;15.0;966.0;105.0;116.0;7.0;0.0;1;J3;1;"Verifique seccion: J3, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J30104;;06B01901;4
3151.0;22.0;12.0;25524.0;135.0;106.0;2.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02101;16
3011.0;5.0;5.0;7826.0;24.0;19.0;2.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02302;4
3024.0;2.0;1.0;5485.0;6.0;3.0;1.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02501;3
3145.0;22.0;5.0;25261.0;124.0;85.0;7.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02602;4
3109.0;4.0;1.0;6433.0;137.0;112.0;5.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02603;3
3095.0;12.0;2.0;13699.0;130.0;68.0;1.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02607;2
3097.0;19.0;3.0;23109.0;74.0;48.0;4.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02608;1
3097.0;19.0;3.0;23109.0;74.0;48.0;4.0;0.0;1;J4;1;"Verifique seccion: J4, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.";01J40104;;06B02702;5
