ENCUESTADOR,DEPTO,MUPIO,SECTOR,ESTRUCTURA,VIVIENDA,HOGAR,CP,CAPÍTULO,SECCIÓN,PREGUNTA,DEFINICIÓN DE INCONSISTENCIA,CÓDIGO ERROR,COMENTARIOS
3117.0,10.0,2.0,12314.0,192.0,165.0,10.0,0.0,1,D,17,"Tiene inodoro conectado a red de drenajes, pero su hogar no esta conectada a una red de drenajes",01D01701,
3102.0,1.0,29.0,3307.0,129.0,132.0,9.0,0.0,1,D,17,"No tiene inodoro, y la pregunta (18) no es vacia",01D01702,
3119.0,1.0,23.0,1925.0,129.0,118.0,9.0,0.0,1,D,20,Indico que el hogar si tiene plan residencial y no reporta cuanto pago,01D02001,
3043.0,7.0,13.0,9827.0,133.0,96.0,3.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3135.0,3.0,1.0,5885.0,188.0,46.0,6.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3140.0,21.0,1.0,24364.0,38.0,26.0,9.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3013.0,8.0,5.0,10585.0,35.0,17.0,3.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3037.0,3.0,1.0,5885.0,166.0,37.0,5.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3084.0,13.0,8.0,16165.0,38.0,20.0,3.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3102.0,1.0,29.0,3307.0,9.0,8.0,1.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3045.0,1.0,36.0,4567.0,30.0,32.0,2.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3031.0,12.0,15.0,14649.0,33.0,32.0,3.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3081.0,9.0,1.0,10876.0,23.0,16.0,1.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3081.0,9.0,1.0,10738.0,34.0,26.0,3.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3107.0,19.0,7.0,23344.0,77.0,52.0,4.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3111.0,7.0,18.0,9911.0,144.0,75.0,10.0,0.0,1,D,20,Indico que el hogar si tiene telefono fijo y no reporta cuanto pago,01D02002,
3087.0,19.0,7.0,23319.0,172.0,139.0,10.0,0.0,1,D,22,"Si la respuesta esta un rango de (3:7,98) la siguiente pregunta no es vacia",01D02201,
3033.0,13.0,24.0,16935.0,68.0,45.0,3.0,0.0,1,D,22,"Si la respuesta esta un rango de (3:7,98) la siguiente pregunta no es vacia",01D02201,
3033.0,13.0,24.0,16935.0,68.0,45.0,3.0,0.0,1,D,23,Si la respues es SI y no ingresa cuanto pago (es vacio),01D02301,
3028.0,14.0,10.0,17946.0,63.0,39.0,3.0,0.0,1,D,25,Se indico NO en la pregunta P01D24 y P01D25 no es vacia,01D02501,
3018.0,18.0,1.0,22202.0,122.0,93.0,1.0,0.0,1,D,25,Se indico NO en la pregunta P01D24 y P01D25 no es vacia,01D02501,
3028.0,14.0,10.0,17946.0,63.0,39.0,3.0,0.0,1,D,26,Se indico No en la pregunta P01D24 y P01D26 no es vacia,01D02601,
3018.0,18.0,1.0,22202.0,122.0,93.0,1.0,0.0,1,D,26,Se indico No en la pregunta P01D24 y P01D26 no es vacia,01D02601,
3002.0,4.0,3.0,6582.0,23.0,19.0,2.0,0.0,1,D,26,"Se indico ""00"" en la pregunta P01D25 y P01D26 no es vacia",01D02603,
3060.0,12.0,10.0,14441.0,81.0,41.0,4.0,0.0,1,D,26,"Se indico ""00"" en la pregunta P01D25 y P01D26 no es vacia",01D02603,
3028.0,14.0,10.0,17946.0,63.0,39.0,3.0,0.0,1,D,27,Se indico No en la pregunta P01D24 y P01D27 no es vacia,01D02701,
3018.0,18.0,1.0,22202.0,122.0,93.0,1.0,0.0,1,D,27,Se indico No en la pregunta P01D24 y P01D27 no es vacia,01D02701,
3006.0,1.0,5.0,220.0,171.0,163.0,7.0,0.0,1,D,27,"Se indico ""00"" en la pregunta P01D25 y P01D27 no es vacio",01D02702,
3035.0,1.0,35.0,4021.0,1.0,3.0,1.0,0.0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,
3018.0,18.0,1.0,22202.0,122.0,93.0,1.0,0.0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,
3115.0,11.0,1.0,13101.0,138.0,106.0,1.0,0.0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,
3003.0,5.0,6.0,8013.0,105.0,82.0,1.0,0.0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,
3081.0,9.0,1.0,10876.0,23.0,16.0,1.0,0.0,1,D,29,"Se indico ""No"" en la pregunta P01D28 y P01D29 no es vacia",01D02901,
3018.0,18.0,1.0,22202.0,122.0,93.0,1.0,0.0,1,D,30,"Se indico ""No"" en la pregunta P01D28 y P01D30 no es vacia",01D03001,
3003.0,5.0,6.0,8013.0,105.0,82.0,1.0,0.0,1,D,30,"Se indico ""No"" en la pregunta P01D28 y P01D30 no es vacia",01D03001,
3081.0,9.0,1.0,10876.0,23.0,16.0,1.0,0.0,1,D,30,"Se indico ""No"" en la pregunta P01D28 y P01D30 no es vacia",01D03001,
3056.0,2.0,8.0,5815.0,228.0,193.0,10.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3018.0,18.0,1.0,22202.0,122.0,93.0,1.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3060.0,12.0,7.0,14180.0,6.0,5.0,2.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3116.0,19.0,7.0,23344.0,142.0,93.0,7.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31B no es vacia",01D03103,
3046.0,5.0,1.0,7286.0,188.0,197.0,9.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3034.0,19.0,4.0,23172.0,66.0,40.0,4.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3060.0,12.0,7.0,14180.0,6.0,5.0,2.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3128.0,16.0,1.0,19549.0,121.0,92.0,1.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3116.0,19.0,7.0,23344.0,142.0,93.0,7.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3056.0,2.0,8.0,5815.0,209.0,173.0,9.0,0.0,1,D,31,"Se indico ""00"" en la pregunta P01D31A y P01D31C no es vacia",01D03104,
3005.0,5.0,1.0,7349.0,18.0,21.0,1.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3046.0,5.0,1.0,7286.0,188.0,197.0,9.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3056.0,2.0,8.0,5815.0,228.0,193.0,10.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3034.0,19.0,4.0,23172.0,66.0,40.0,4.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3060.0,12.0,7.0,14180.0,6.0,5.0,2.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3128.0,16.0,1.0,19549.0,121.0,92.0,1.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3082.0,15.0,3.0,19053.0,29.0,24.0,2.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3116.0,19.0,7.0,23344.0,142.0,93.0,7.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3056.0,2.0,8.0,5815.0,209.0,173.0,9.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3025.0,20.0,4.0,23786.0,56.0,35.0,2.0,0.0,1,D,32,Si indico que NO uso leña el mes pasado O si registro 0 en la distancia en mt y responde que medio utiliza para transportar la leña,01D03201,
3005.0,5.0,1.0,7349.0,18.0,21.0,1.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3046.0,5.0,1.0,7286.0,188.0,197.0,9.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3056.0,2.0,8.0,5815.0,228.0,193.0,10.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3034.0,19.0,4.0,23172.0,66.0,40.0,4.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3060.0,12.0,7.0,14180.0,6.0,5.0,2.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3128.0,16.0,1.0,19549.0,121.0,92.0,1.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3082.0,15.0,3.0,19053.0,29.0,24.0,2.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3116.0,19.0,7.0,23344.0,142.0,93.0,7.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3056.0,2.0,8.0,5815.0,209.0,173.0,9.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3025.0,20.0,4.0,23786.0,56.0,35.0,2.0,0.0,1,D,32,"Si la leña está a una distancia cero, no necesita un medio para transportarla",01D03202,
3003.0,5.0,6.0,8013.0,105.0,82.0,1.0,0.0,1,D,33,Si indico que NO uso leña el mes pasado y responde si hay o no una chimenea o escape de humo,01D03301,
3040.0,10.0,1.0,12200.0,63.0,30.0,4.0,0.0,1,H,9,"Verifique seccion: H, pregunta: 9. Responde no a menores de 18 años y tiene valores asignados en las respuesta de las preguntas siguientes",01H00902,
3092.0,15.0,4.0,19065.0,74.0,42.0,7.0,0.0,1,H,9,"Verifique seccion: H, pregunta: 9. Responde no a menores de 18 años y tiene valores asignados en las respuesta de las preguntas siguientes",01H00902,
3150.0,22.0,1.0,24989.0,188.0,117.0,117.0,0.0,1,I,1,"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.",01I00105,
3083.0,12.0,16.0,14853.0,53.0,43.0,1.0,0.0,1,I,1,"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.",01I00105,
3034.0,19.0,4.0,23172.0,2.0,2.0,1.0,0.0,1,I,1,"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.",01I00105,
3031.0,12.0,15.0,14649.0,33.0,32.0,3.0,0.0,1,I,1,"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.",01I00105,
3082.0,15.0,5.0,19197.0,81.0,47.0,5.0,0.0,1,I,1,"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.",01I00105,
3092.0,15.0,3.0,19013.0,49.0,35.0,3.0,0.0,1,I,1,"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.",01I00105,
3111.0,7.0,18.0,9911.0,144.0,75.0,10.0,0.0,1,I,1,"Verifique seccion: I, pregunta: 1. Indica ""no"" a ""alguna persona que vivia en este hogar, vive actualmente en otro pais"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: sexo, que edad tenia al irse,  en que año se fue, en que pais se encuentra actualmente, codigo del pais.",01I00105,
3092.0,15.0,5.0,19110.0,39.0,25.0,4.0,0.0,1,I,4,"Verifique seccion: I, pregunta: 4. El valor asignado en la respuesta de la pregunta ""en que año se fue"" es menor de 2018 o se asigno un valor distinto de 00",01I00401,
3065.0,18.0,5.0,22853.0,4.0,4.0,1.0,0.0,1,J1,1,"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.",01J10104,
3093.0,7.0,6.0,9657.0,105.0,78.0,1.0,0.0,1,J1,1,"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.",01J10104,
3119.0,1.0,23.0,1925.0,129.0,118.0,9.0,0.0,1,J1,1,"Verifique seccion: J1, pregunta: 1. Indica ""no"" a ""El hogar posee, tiene o cuenta con"" y se asigno un valor en la respuesta de al menos una de las siguentes preguntas: ¿Cuántos(as) (...) tiene este hogar?, ¿Cuántos años tiene el/la (...)?, ¿El artículo adquirido era:, Si fuera a vender el/la (...) el día de hoy, ¿en cuánto lo vendería?.",01J10104,
